,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,port lincoln,-34.73,135.87,67.42,83,49,13.27,AU,1581381206
321,berezovka,53.72,25.5,35.82,94,95,11.36,BY,1581381206
322,ouallam,14.32,2.09,75.02,12,0,16.22,NE,1581381206
323,lexington park,38.27,-76.45,52.0,93,90,5.82,US,1581381206
324,alenquer,-1.94,-54.74,75.2,100,63,3.36,BR,1581381195
325,basco,20.45,121.97,70.92,73,37,20.69,PH,1581381207
326,skelleftea,64.75,20.95,36.0,80,61,13.87,SE,1581381207
327,halifax,44.65,-63.57,37.99,100,90,16.11,CA,1581381066
328,nuuk,64.18,-51.72,12.2,61,100,13.87,GL,1581381207
329,rawson,-43.3,-65.1,70.92,56,10,21.56,AR,1581381035
330,santarem,-2.44,-54.71,75.2,100,59,3.36,BR,1581381207
331,kutum,14.2,24.67,43.84,38,0,5.5,SD,1581381207
332,aqtobe,50.28,57.21,17.6,78,90,17.9,KZ,1581381207
333,bilma,18.69,12.92,59.86,19,54,13.62,NE,1581381207
334,voyvozh,62.89,54.96,27.34,90,100,11.88,RU,1581381207
335,zinder,13.81,8.99,69.46,11,96,16.17,NE,1581381207
336,okhotsk,59.38,143.3,-9.6,68,22,5.64,RU,1581381207
337,myrtle beach,33.69,-78.89,64.4,87,20,4.7,US,1581381001
338,inverness,57.48,-4.22,41.0,70,65,18.34,GB,1581380966
339,shitkino,56.37,98.35,-3.69,97,91,5.21,RU,1581381208
340,porkhov,57.77,29.56,39.2,86,85,11.18,RU,1581381208
341,port keats,-14.25,129.55,82.83,78,100,9.62,AU,1581381208
342,bulgan,48.81,103.53,21.97,55,13,3.83,MN,1581381208
343,marsaxlokk,35.84,14.54,59.0,76,41,16.11,MT,1581381208
344,barrow,71.29,-156.79,-32.8,97,1,9.17,US,1581380997
345,ishigaki,24.34,124.16,68.0,60,75,9.17,JP,1581381208
346,gazimurskiy zavod,51.55,118.33,3.56,92,0,4.09,RU,1581381208
347,yangjiang,21.85,111.97,63.0,64,93,4.54,CN,1581381208
348,dodge city,37.75,-100.02,39.2,48,90,3.36,US,1581381140
349,moranbah,-22.0,148.05,88.92,52,0,12.57,AU,1581381208
350,broken hill,-31.95,141.43,75.2,50,0,12.75,AU,1581381203
351,porto novo,6.5,2.6,80.6,88,20,5.82,BJ,1581381208
352,soyo,-6.13,12.37,78.73,86,84,7.07,AO,1581381208
353,ruyigi,-3.45,30.32,62.08,93,61,1.48,BI,1581381209
354,parkent,41.29,69.68,37.4,93,90,6.93,UZ,1581381209
355,mitu,1.2,-70.17,74.8,85,60,1.57,CO,1581381209
356,lorengau,-2.02,147.27,83.14,80,88,17.25,PG,1581381209
